,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,10.76,10.76,10.76,10.76,10.76,10.76
Reserves,4.28,4.71,5.15,6.03,6.77,6.88
Borrowings,2.05,2.17,2.3,3.12,2.79,4.47
Other Liabilities,3.23,4.47,5.51,5.01,3.81,3.99
Total Liabilities,20.32,22.11,23.72,24.92,24.13,26.1
Fixed Assets,11.95,14.23,15.21,14.85,14.46,18.75
CWIP,0.17,0.17,0.0,0.0,2.25,0.0
Investments,3.34,1.2,1.14,1.24,1.41,1.07
Other Assets,4.86,6.51,7.37,8.83,6.01,6.28
Total Assets,20.32,22.11,23.72,24.92,24.13,26.1
