,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,383.0,475.0,468.0,558.0,510.0,667.0,699.0,695.0,609.0,803.0,718.0,682.0
Expenses,316.0,388.0,375.0,434.0,396.0,488.0,528.0,563.0,506.0,650.0,582.0,546.0
Operating Profit,67.0,87.0,93.0,124.0,114.0,180.0,172.0,132.0,104.0,153.0,136.0,136.0
OPM %,18.0,18.0,20.0,22.0,22.0,27.0,25.0,19.0,17.0,19.0,19.0,20.0
Other Income,2.0,8.0,3.0,4.0,3.0,5.0,11.0,22.0,14.0,7.0,9.0,10.0
Interest,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
Depreciation,19.0,20.0,20.0,20.0,22.0,22.0,22.0,22.0,22.0,21.0,21.0,21.0
Profit before tax,50.0,75.0,75.0,107.0,95.0,161.0,160.0,131.0,95.0,137.0,123.0,124.0
Tax %,25.0,29.0,25.0,26.0,27.0,25.0,26.0,26.0,26.0,24.0,27.0,25.0
Net Profit,37.0,53.0,57.0,79.0,70.0,121.0,118.0,98.0,71.0,105.0,90.0,93.0
EPS in Rs,4.95,7.05,7.54,10.53,9.28,16.13,15.69,12.98,9.38,13.89,11.98,12.37
