,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Promoters,75.0,75.0,75.0,75.0,75.0,74.86,74.86,74.86
FIIs,0.0,5.79,0.02,0.02,0.02,0.0,0.0,0.0
DIIs,0.11,0.09,0.09,0.09,0.09,0.08,0.08,0.08
Public,24.89,19.13,24.89,24.89,24.9,25.06,25.05,25.07
No. of Shareholders,6108.0,5149.0,6800.0,6118.0,6109.0,9362.0,11431.0,12073.0
