,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,19.19,38.06,30.21,29.71,56.62,63.13,79.27
Expenses,17.73,37.59,29.43,28.31,53.24,58.76,74.83
Operating Profit,1.46,0.47,0.78,1.4,3.38,4.37,4.44
OPM %,7.61,1.23,2.58,4.71,5.97,6.92,5.60
Other Income,0.05,0.52,0.49,0.45,0.16,0.05,0.38
Interest,0.29,0.74,0.75,1.02,0.96,0.85,0.75
Depreciation,0.47,0.14,0.13,0.14,0.27,0.27,0.28
Profit before tax,0.75,0.11,0.39,0.69,2.31,3.3,3.79
Tax %,18.67,-109.09,0.0,2.9,31.17,35.76,
Net Profit,0.61,0.23,0.39,0.66,1.6,2.12,2.58
EPS in Rs,40.67,2.56,4.33,7.33,6.35,7.24,8.82
