,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,0.15,0.9,0.9,0.9,2.52,2.93,2.93
Reserves,1.25,0.77,1.11,1.3,1.25,9.62,10.39
Borrowings,4.5,6.94,6.99,7.37,9.71,6.8,8.46
Other Liabilities,6.75,7.64,8.33,7.43,14.69,14.97,24.74
Total Liabilities,12.65,16.25,17.33,17.0,28.17,34.32,46.52
Fixed Assets,0.55,0.43,0.3,0.19,0.68,0.43,0.48
CWIP,0.0,0.0,0.53,0.73,0.0,0.0,0.0
Investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Assets,12.1,15.82,16.5,16.08,27.49,33.89,46.04
Total Assets,12.65,16.25,17.33,17.0,28.17,34.32,46.52
