,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,16.99,19.81,13.46,13.77,16.56,19.34,18.05,25.32
Expenses,15.87,18.66,12.65,12.7,15.38,18.06,17.23,24.16
Operating Profit,1.12,1.15,0.81,1.07,1.18,1.28,0.82,1.16
OPM %,6.59,5.81,6.02,7.77,7.13,6.62,4.54,4.58
Other Income,0.11,-0.06,0.0,0.01,-0.01,0.05,0.13,0.21
Interest,0.28,0.23,0.2,0.21,0.18,0.23,0.16,0.18
Depreciation,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07
Profit before tax,0.88,0.79,0.54,0.8,0.92,1.03,0.72,1.12
Tax %,35.23,36.71,42.59,27.5,30.43,44.66,20.83,28.57
Net Profit,0.58,0.5,0.31,0.59,0.64,0.57,0.57,0.8
EPS in Rs,6.44,1.98,1.23,2.34,2.19,1.95,1.95,2.73
