,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Promoters,41.66,41.93,41.93,41.93
FIIs,7.43,5.44,3.77,3.77
Public,50.91,52.63,54.3,54.3
No. of Shareholders,237.0,248.0,294.0,291.0
