,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,6.84,6.31,9.28,11.14,11.47,11.87,92.72,14.07,13.59,15.67,16.39,13.78,13.38
Expenses,6.64,6.14,8.36,9.85,9.55,9.02,88.18,10.26,10.97,11.33,13.24,11.86,11.36
Operating Profit,0.2,0.17,0.92,1.29,1.92,2.85,4.54,3.81,2.62,4.34,3.15,1.92,2.02
OPM %,2.92,2.69,9.91,11.58,16.74,24.01,4.9,27.08,19.28,27.7,19.22,13.93,15.10
Other Income,4.04,0.31,-0.02,0.04,0.0,0.36,0.32,0.4,-0.29,1.83,1.52,1.38,1.36
Interest,1.4,0.03,0.1,0.05,0.04,0.07,0.07,0.05,0.06,0.05,0.05,0.06,0.06
Depreciation,0.19,0.22,0.28,0.32,0.85,0.73,0.69,0.63,0.9,0.62,0.66,0.75,0.78
Profit before tax,2.65,0.23,0.52,0.96,1.03,2.41,4.1,3.53,1.37,5.5,3.96,2.49,2.54
Tax %,10.19,226.09,50.0,64.58,37.86,28.22,25.12,28.9,49.64,29.82,35.61,24.1,
Net Profit,2.38,-0.29,0.26,0.35,0.64,1.73,3.06,2.52,0.69,3.85,2.55,1.88,1.95
EPS in Rs,4.58,-0.56,0.5,0.67,1.23,3.33,5.89,4.85,1.33,7.41,4.91,3.62,3.75
