,2020-03-01,2020-09-01,2021-03-01,2021-09-01,2022-03-01,2022-09-01,2023-03-01,2023-09-01
Sales,3.41,1.49,11.36,3.07,4.69,2.92,8.46,9.26
Expenses,4.72,1.45,11.11,2.79,4.42,2.59,7.78,8.67
Operating Profit,-1.31,0.04,0.25,0.28,0.27,0.33,0.68,0.59
OPM %,-38.42,2.68,2.2,9.12,5.76,11.3,8.04,6.37
Other Income,-0.0,-0.0,0.06,0.04,0.02,0.05,0.02,0.01
Interest,-0.0,-0.0,0.02,0.02,0.07,0.05,0.02,0.02
Depreciation,-0.0,-0.0,-0.0,-0.0,-0.0,0.01,0.02,0.02
Profit before tax,-1.31,0.04,0.29,0.3,0.22,0.32,0.66,0.56
Tax %,-0.0,-0.0,37.93,23.33,22.73,28.12,25.76,26.79
Net Profit,-1.32,0.04,0.18,0.22,0.17,0.23,0.49,0.42
EPS in Rs,-1.43,0.03,0.11,0.14,0.1,0.14,0.3,0.26
