,2021-03-01,2021-09-01,2022-03-01,2022-09-01,2023-03-01,2023-09-01
Promoters,65.71,66.08,70.26,70.05,70.51,72.35
Public,34.29,33.92,29.74,29.95,29.49,27.66
No. of Shareholders,156.0,153.0,242.0,251.0,285.0,320.0
