,2023-03-01,2023-09-01
Equity Capital,0.72,13.28
Reserves,1.82,94.23
Borrowings,0.03,4.47
Other Liabilities,0.43,19.78
Total Liabilities,3.0,131.76
Fixed Assets,0.0,70.95
CWIP,0.0,0.0
Investments,0.0,0.0
Other Assets,3.0,60.81
Total Assets,3.0,131.76
