,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Debtor Days,91.0,102,103,60,44
Inventory Days,,,,55,46
Days Payable,,,,158,58
Cash Conversion Cycle,91.0,102,103,-43,33
Working Capital Days,65.0,90,108,72,59
ROCE %,,9,12,19,11
