,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,339.0,348.0,375.0,824.0,877.0,740
Expenses,314.0,320.0,345.0,776.0,842.0,715
Operating Profit,25.0,28.0,30.0,48.0,35.0,25
OPM %,7.0,8.0,8.0,6.0,4.0,3
Other Income,5.0,1.0,1.0,2.0,1.0,1
Interest,5.0,8.0,6.0,10.0,12.0,12
Depreciation,12.0,16.0,12.0,13.0,12.0,13
Profit before tax,12.0,5.0,13.0,27.0,12.0,2
Tax %,34.0,24.0,29.0,32.0,32.0,
Net Profit,8.0,4.0,9.0,18.0,8.0,-0
EPS in Rs,0.54,0.27,0.59,1.2,0.55,-0.02
