,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,51.27,51.27,57.15,54.9,58.18,72.18,65.35,52.98,60.85,62.89,79.93,75.53,69.69
Expenses,41.57,43.9,48.97,47.73,49.87,60.32,57.87,53.47,56.93,59.35,75.93,70.26,64.01
Operating Profit,9.7,7.37,8.18,7.17,8.31,11.86,7.48,-0.49,3.92,3.54,4.0,5.27,5.68
OPM %,18.92,14.37,14.31,13.06,14.28,16.43,11.45,-0.92,6.44,5.63,5.0,6.98,8.15
Other Income,0.7,-1.46,-0.15,2.04,1.83,1.29,1.52,0.87,0.03,0.04,0.03,-0.5,-0.53
Interest,2.14,2.4,2.43,2.86,2.52,1.99,1.45,1.3,1.08,0.78,1.36,1.4,1.26
Depreciation,1.99,2.09,2.29,2.12,2.21,2.45,2.54,2.42,2.78,2.69,2.93,3.19,3.16
Profit before tax,6.27,1.42,3.31,4.23,5.41,8.71,5.01,-3.34,0.09,0.11,-0.26,0.18,0.73
Tax %,15.63,29.58,-20.54,22.7,16.27,17.34,18.76,-13.17,-800.0,-18.18,38.46,172.22,
Net Profit,5.29,0.99,3.98,3.27,4.53,7.19,4.08,-3.79,0.81,0.12,-0.15,-0.12,0.29
EPS in Rs,5.57,1.04,4.19,3.44,4.77,7.57,4.29,-3.99,0.85,0.13,-0.16,-0.13,0.30
