,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,42.2,20.9,25.54,44.33,54.91
Expenses,38.81,18.18,24.48,42.25,52.30
Operating Profit,3.39,2.72,1.06,2.08,2.61
OPM %,8.03,13.01,4.15,4.69,4.75
Other Income,1.15,-0.06,-2.12,0.38,0.30
Interest,2.23,2.11,2.33,1.89,1.83
Depreciation,0.07,0.06,0.05,0.04,0.04
Profit before tax,2.24,0.49,-3.44,0.53,1.04
Tax %,25.45,30.61,-5.52,32.08,
Net Profit,1.67,0.35,-3.62,0.36,0.80
EPS in Rs,3.38,0.71,-7.33,0.52,1.16
