,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,22,22,22,22,22
Reserves,456,495,552,616,618
Borrowings,92,127,358,505,646
Other Liabilities,96,103,163,179,168
Total Liabilities,666,747,1095,1323,1454
Fixed Assets,303,311,300,523,646
CWIP,2,17,276,235,154
Investments,83,72,69,55,55
Other Assets,277,346,449,510,599
Total Assets,666,747,1095,1323,1454
