,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,56.96,76.39,94.44,106.26,87.85,90.94,71.99,85.73,74.1,84.14
Expenses,55.39,74.79,92.7,103.13,85.97,89.58,70.75,83.1,72.92,83.07
Operating Profit,1.57,1.6,1.74,3.13,1.88,1.36,1.24,2.63,1.18,1.07
OPM %,2.76,2.09,1.84,2.95,2.14,1.5,1.72,3.07,1.59,1.27
Other Income,0.0,0.01,0.01,0.05,0.01,0.02,0.03,0.05,0.44,0.41
Interest,0.64,0.71,1.19,1.33,0.76,0.71,0.73,0.7,0.67,0.76
Depreciation,0.03,0.06,0.01,0.01,0.02,0.02,0.02,0.04,0.02,0.06
Profit before tax,0.9,0.84,0.55,1.84,1.11,0.65,0.52,1.94,0.93,0.66
Tax %,0.0,0.0,0.0,64.67,0.0,0.0,0.0,0.0,0.0,0.0
Net Profit,0.91,0.83,0.55,0.65,1.11,0.65,0.52,1.94,0.92,0.66
EPS in Rs,0.61,0.55,0.37,0.43,0.74,0.43,0.35,1.29,0.61,0.44
