,2023-03-01,2023-09-01
Sales,7.31,10.59
Expenses,6.72,8.98
Operating Profit,0.59,1.61
OPM %,8.07,15.2
Other Income,0.01,0.19
Interest,0.02,0.08
Depreciation,0.05,0.08
Profit before tax,0.53,1.64
Tax %,24.53,25.61
Net Profit,0.40,1.22
EPS in Rs,,3.94
