,2023-03-01,2023-09-01
Equity Capital,1.11,3.1
Reserves,2.04,3.23
Borrowings,1.32,0.26
Other Liabilities,1.05,4.65
Total Liabilities,5.52,11.24
Fixed Assets,0.79,1.0
CWIP,0.0,0.0
Investments,0.0,0.0
Other Assets,4.73,10.24
Total Assets,5.52,11.24
