,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,20,24,24,24,25,25,25,25,25,25
Reserves,-1,2,2,11,16,10,11,18,16,18
Borrowings,45,44,42,37,33,28,25,26,18,17
Other Liabilities,6,4,7,7,11,11,12,24,18,15
Total Liabilities,70,75,75,79,85,74,73,93,76,75
Fixed Assets,54,58,56,52,49,50,46,43,39,37
CWIP,0,0,0,0,5,0,0,0,0,0
Investments,0,0,0,0,0,0,0,0,0,0
Other Assets,17,17,19,26,31,24,27,50,37,38
Total Assets,70,75,75,79,85,74,73,93,76,75
