,2017-09-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,45.44,34.14,44.2,46.84,46.93,48.33,18.78,31.03,37.39,38.45,43.57
Expenses,38.32,29.56,43.64,42.75,43.2,46.1,25.24,29.81,34.98,36.69,41.74
Operating Profit,7.12,4.58,0.56,4.09,3.73,2.23,-6.46,1.22,2.41,1.76,1.83
OPM %,15.67,13.42,1.27,8.73,7.95,4.61,-34.4,3.93,6.45,4.58,4.2
Other Income,1.16,0.64,0.8,0.94,1.08,0.78,0.12,0.75,0.74,0.87,0.86
Interest,1.09,0.71,0.55,0.59,0.7,0.44,0.4,0.48,0.4,0.3,0.36
Depreciation,1.93,1.05,1.06,1.06,1.05,1.07,1.07,1.07,1.07,1.07,1.07
Profit before tax,5.26,3.46,-0.25,3.38,3.06,1.5,-7.81,0.42,1.68,1.26,1.26
Tax %,52.09,-0.29,0.0,-1.18,87.91,28.0,0.64,-11.9,-104.17,28.57,28.57
Net Profit,2.52,3.48,-0.24,3.42,0.37,1.08,-7.76,0.47,3.44,0.9,0.9
EPS in Rs,0.1,0.14,-0.01,0.14,0.01,0.04,-0.31,0.02,0.14,0.04,0.04
