,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,15.0,58.0,86.0,93.0,101.0,109.0,110.0,172.0,136.0,150
Expenses,13.0,50.0,77.0,85.0,95.0,108.0,104.0,159.0,136.0,143
Operating Profit,2.0,8.0,9.0,8.0,6.0,1.0,5.0,13.0,-0.0,7
OPM %,14.0,14.0,10.0,8.0,6.0,1.0,5.0,8.0,-0.0,5
Other Income,0.0,1.0,0.0,6.0,4.0,2.0,1.0,3.0,2.0,3
Interest,1.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,2
Depreciation,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4
Profit before tax,0.0,3.0,3.0,8.0,4.0,-5.0,-0.0,10.0,-4.0,5
Tax %,282.0,23.0,4.0,-6.0,42.0,-25.0,789.0,27.0,34.0,
Net Profit,-1.0,3.0,3.0,9.0,2.0,-6.0,1.0,7.0,-3.0,6
EPS in Rs,-0.03,0.11,0.11,0.36,0.09,-0.23,0.05,0.28,-0.11,0.24
