,2021-03-01,2022-06-01,2022-09-01,2023-03-01,2023-06-01,2023-09-01
Sales,151.38,84.57,104.2,84.12,79.41,76.16
Expenses,137.45,79.73,97.11,71.04,71.07,67.48
Operating Profit,13.93,4.84,7.09,13.08,8.34,8.68
OPM %,9.2,5.72,6.8,15.55,10.5,11.4
Other Income,0.08,0.55,0.32,0.95,2.45,0.23
Interest,2.87,2.3,2.61,3.19,2.71,2.73
Depreciation,2.34,2.81,2.89,3.36,2.86,2.35
Profit before tax,8.8,0.28,1.91,7.48,5.22,3.83
Tax %,27.5,242.86,24.08,19.25,21.46,27.94
Net Profit,6.38,-0.4,1.45,6.05,4.1,2.75
EPS in Rs,5.23,0.06,0.8,3.93,2.87,2.15
