,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Cash from Operating Activity,36,19,21,17,52
Cash from Investing Activity,-3,-111,-81,-276,16
Cash from Financing Activity,-6,73,93,240,-2
Net Cash Flow,27,-19,33,-20,66
