,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,63.0,72.0,75.0,85.0,99.0,108.0,119.0,125.0,138.0,183.0,214.0,235.0
Expenses,67.0,71.0,73.0,81.0,90.0,93.0,107.0,107.0,115.0,151.0,177.0,188.0
Operating Profit,-4.0,1.0,2.0,4.0,9.0,15.0,12.0,18.0,23.0,32.0,38.0,46.0
OPM %,-6.0,1.0,3.0,5.0,9.0,14.0,10.0,14.0,17.0,18.0,18.0,20.0
Other Income,3.0,7.0,6.0,3.0,1.0,6.0,8.0,7.0,1.0,5.0,6.0,4.0
Interest,2.0,2.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Depreciation,9.0,9.0,7.0,7.0,8.0,8.0,8.0,8.0,8.0,11.0,11.0,10.0
Profit before tax,-11.0,-3.0,-1.0,-1.0,0.0,12.0,11.0,16.0,15.0,26.0,32.0,39.0
Tax %,2.0,-97.0,-148.0,-38.0,80.0,6.0,24.0,17.0,10.0,-31.0,22.0,24.0
Net Profit,-11.0,-6.0,-1.0,-2.0,0.0,12.0,8.0,13.0,13.0,34.0,25.0,30.0
EPS in Rs,-170.08,-89.13,-21.07,-0.24,0.01,1.08,0.78,1.2,1.22,3.12,2.3,2.77
