,Mar 2022,Mar 2023,TTM
Sales,1.7,19.47,21.99
Expenses,0.42,6.99,10.27
Operating Profit,1.28,12.48,11.72
OPM %,75.29,64.1,53.30
Other Income,0.2,0.1,0.27
Interest,0.0,1.89,2.47
Depreciation,0.0,0.61,1.09
Profit before tax,1.48,10.08,8.43
Tax %,27.7,33.23,
Net Profit,1.07,6.74,5.18
EPS in Rs,1.29,6.48,4.97
