,2011-06-01,2012-06-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,0.03,0.03,1.24,0.37,1.09,1.74,15.64,2.67,1.94
Expenses,0.01,0.01,0.3,0.47,0.51,0.62,6.02,1.39,2.24
Operating Profit,0.02,0.02,0.94,-0.1,0.58,1.12,9.62,1.28,-0.3
OPM %,66.67,66.67,75.81,-27.03,53.21,64.37,61.51,47.94,-15.46
Other Income,0.0,0.0,0.18,0.7,0.15,0.0,0.1,0.13,0.04
Interest,0.0,0.0,0.0,0.0,0.01,0.0,1.27,0.66,0.54
Depreciation,0.0,0.0,0.0,0.0,0.0,0.07,0.54,0.24,0.24
Profit before tax,0.02,0.02,1.12,0.6,0.72,1.05,7.91,0.51,-1.04
Tax %,50.0,50.0,27.68,25.0,19.44,29.52,34.51,27.45,-7.69
Net Profit,0.01,0.01,0.8,0.45,0.58,0.75,5.18,0.37,-1.12
EPS in Rs,0.01,0.01,0.93,0.43,0.56,0.72,4.98,0.36,-1.09
