,2019-03-01,2020-03-01,2020-09-01,2021-03-01,2021-09-01,2022-03-01,2022-09-01,2023-03-01
Sales,0.00,0.00,0.00,0.00,0.0,0.00,0.00,0.00
Expenses,0.08,0.05,0.04,0.05,0.07,0.07,0.07,0.05
Operating Profit,-0.08,-0.05,-0.04,-0.05,-0.07,-0.07,-0.07,-0.05
OPM %,,,,,,,,
Other Income,0.06,0.25,0.14,0.16,0.25,0.28,0.26,0.25
Interest,0.00,0.00,0.00,0.00,0.0,0.00,0.00,0.00
Depreciation,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18
Profit before tax,-0.21,0.01,-0.08,-0.07,0.0,0.03,0.01,0.02
Tax %,47.62,-1100.00,0.00,185.71,,-466.67,0.00,-750.00
Net Profit,-0.11,0.12,-0.08,0.06,-0.01,0.17,0.01,0.17
EPS in Rs,-0.00,0.01,-0.00,0.00,0.0,0.01,0.00,0.01
