,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Equity Capital,0.53,15.53,15.53,23.29,23.29,23.29,23.29,23.29,23.29,23.29,23.29,23.29
Reserves,5.03,7.29,7.34,7.48,7.6,7.68,7.78,7.68,7.79,7.77,,
Borrowings,0.0,0.0,0.0,0.0,0.0,0.05,0.04,0.03,0.02,0.01,,
Other Liabilities,0.11,1.0,5.46,1.97,2.39,3.5700000000000003,3.93,3.75,3.7,3.14,,
Total Liabilities,5.67,23.82,28.33,32.74,33.28,34.59,35.04,34.75,34.8,34.21,,
Fixed Assets,3.7,7.0,6.8100000000000005,6.34,5.92,5.57,5.18,4.79,4.42,4.05,,
CWIP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Investments,0.3,2.69,2.99,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,
Other Assets,1.67,14.13,18.53,25.9,26.86,28.52,29.36,29.46,29.88,29.66,,
Total Assets,5.67,23.82,28.33,32.74,33.28,34.59,35.04,34.75,34.8,34.21,,
