,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,2.0,2.2,3.01,3.01,10.05,10.05,10.05
Reserves,0.04,1.04,4.05,4.21,0.23,0.45,0.56
Borrowings,0.0,0.23,0.18,1.06,0.97,0.93,1.17
Other Liabilities,0.02,0.11,0.1,0.1,0.33,0.18,0.11
Total Liabilities,2.06,3.58,7.34,8.38,11.58,11.61,11.89
Fixed Assets,0.13,0.27,0.19,0.19,0.16,0.12,0.1
CWIP,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Assets,1.93,3.31,7.15,8.19,11.42,11.49,11.79
Total Assets,2.06,3.58,7.34,8.38,11.58,11.61,11.89
