,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,4.76,7.09,10.04,10.31,13.51,18.29,20.13
Expenses,4.69,6.68,9.57,10.0,13.1,17.83,19.68
Operating Profit,0.07,0.41,0.47,0.31,0.41,0.46,0.45
OPM %,1.47,5.78,4.68,3.01,3.03,2.52,2.24
Other Income,0.01,0.04,-0.13,0.02,0.0,-0.01,0.00
Interest,0.0,0.0,0.03,0.03,0.06,0.11,0.11
Depreciation,0.02,0.05,0.08,0.07,0.06,0.05,0.02
Profit before tax,0.06,0.4,0.23,0.23,0.29,0.29,0.32
Tax %,33.33,27.5,26.09,26.09,27.59,27.59,
Net Profit,0.04,0.3,0.17,0.17,0.21,0.21,0.25
EPS in Rs,0.07,0.45,0.18,0.18,0.21,0.21,0.25
