,2020-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,10.04,1.69,4.64,3.69,3.49,4.3,3.96,4.75,5.28,4.55,5.55
Expenses,9.58,1.61,4.54,3.59,3.39,4.16,3.88,4.64,5.17,4.45,5.42
Operating Profit,0.46,0.08,0.1,0.1,0.1,0.14,0.08,0.11,0.11,0.1,0.13
OPM %,4.58,4.73,2.16,2.71,2.87,3.26,2.02,2.32,2.08,2.2,2.34
Other Income,-0.13,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Interest,0.02,0.01,0.01,0.01,0.01,0.03,0.02,0.03,0.02,0.03,0.03
Depreciation,0.08,0.03,0.03,0.01,0.01,0.04,0.0,0.0,0.0,0.01,0.01
Profit before tax,0.23,0.05,0.07,0.08,0.08,0.07,0.06,0.08,0.09,0.06,0.09
Tax %,26.09,40.0,28.57,25.0,25.0,28.57,16.67,25.0,22.22,33.33,22.22
Net Profit,0.17,0.04,0.05,0.06,0.06,0.05,0.04,0.06,0.07,0.05,0.07
EPS in Rs,0.18,0.04,0.05,0.06,0.06,0.05,0.04,0.06,0.07,0.05,0.07
