,2021-03-01,2022-03-01,2023-03-01
Debtor Days,,0.00,138.39
Inventory Days,,0.00,142.44
Days Payable,,,6.68
Cash Conversion Cycle,,0.00,274.15
Working Capital Days,,-228.12,242.18
ROCE %,,200.00,18.29
