,Mar 2008,Mar 2009,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,26,21,31.0,37.0,19.0,12.0,12.0,12.0,13.0,15.0,18.0,21
Expenses,27,22,29.0,36.0,18.0,12.0,11.0,10.0,12.0,12.0,14.0,15
Operating Profit,-1,-1,2.0,1.0,1.0,-1.0,2.0,3.0,1.0,4.0,4.0,6
OPM %,-4,-6,7.0,2.0,5.0,-8.0,15.0,21.0,8.0,24.0,22.0,30
Other Income,2,1,0.0,0.0,-1.0,-6.0,0.0,-0.0,5.0,11.0,4.0,8
Interest,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0
Depreciation,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
Profit before tax,1,-0,1.0,-0.0,-2.0,-9.0,1.0,1.0,6.0,14.0,7.0,13
Tax %,11,-2,25.0,-75.0,3.0,0.0,-39.0,9.0,20.0,11.0,6.0,
Net Profit,1,-0,1.0,-0.0,-2.0,-9.0,1.0,1.0,4.0,13.0,6.0,11
EPS in Rs,,,0.48,-0.11,-0.85,-4.58,0.57,0.58,2.32,6.58,3.21,5.36
