,2008-03-01,2009-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,4,5,18,18,18,18,18,19,19,19,19,19
Reserves,4,10,13,13,10,6,6,4,12,30,27,38
Borrowings,0,0,17,19,20,23,20,17,11,11,2,6
Other Liabilities,10,7,15,24,6,3,2,3,2,6,15,9
Total Liabilities,19,23,63,73,54,49,46,44,46,67,63,72
Fixed Assets,1,4,8,14,14,22,22,22,22,20,34,37
CWIP,0,0,13,8,9,0,0,0,0,0,0,0
Investments,6,6,7,7,2,3,3,3,7,20,15,20
Other Assets,12,13,36,44,28,24,22,19,16,26,15,15
Total Assets,19,23,63,73,54,49,46,44,46,67,63,72
