,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,6.07,5.71,5.36,5.69,3.84,5.02,5.06,3.98,4.37,3.05,2.66,1.71,2.92
Expenses,2.61,2.25,2.55,3.08,2.16,2.54,2.0,2.04,2.29,2.63,2.06,1.75,2.01
Operating Profit,3.46,3.46,2.81,2.61,1.68,2.48,3.06,1.94,2.08,0.42,0.6,-0.04,0.91
OPM %,57.0,60.6,52.43,45.87,43.75,49.4,60.47,48.74,47.6,13.77,22.56,-2.34,31.16
Other Income,0.03,0.03,0.04,0.07,0.05,0.89,0.16,0.04,0.08,0.06,0.39,0.12,0.55
Interest,2.46,2.18,1.8,1.55,0.94,0.87,0.48,0.08,0.11,0.06,0.02,0.03,0.04
Depreciation,0.1,0.11,0.19,0.29,0.2,0.18,0.15,0.1,0.07,0.06,0.09,0.15,0.14
Profit before tax,0.93,1.2,0.86,0.84,0.59,2.32,2.59,1.8,1.98,0.36,0.88,-0.1,1.28
Tax %,27.96,23.33,26.74,22.62,18.64,24.14,20.08,38.33,20.71,19.44,23.86,-30.0,
Net Profit,0.67,0.92,0.63,0.65,0.48,1.77,2.07,1.11,1.58,0.3,0.68,-0.13,1.25
EPS in Rs,1.58,2.16,1.48,1.53,1.13,4.16,4.87,2.61,3.72,0.71,1.6,-0.31,2.94
