,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Debtor Days,20.0,31,28,25
Inventory Days,32.0,56,,
Days Payable,466.0,1973,,
Cash Conversion Cycle,-414.0,-1886,28,25
Working Capital Days,-15.0,-310,-87,-86
ROCE %,,-7,-4,8
