,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Cash from Operating Activity,162,17,26,217
Cash from Investing Activity,-9,44,-3,68
Cash from Financing Activity,-124,10,-17,-319
Net Cash Flow,30,70,6,-33
