,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Cash from Operating Activity,50,407,383,330,451
Cash from Investing Activity,-65,-413,-311,-136,-195
Cash from Financing Activity,26,7,-76,-156,-236
Net Cash Flow,11,1,-5,37,20
