,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,378.0,834.0,1010.0,1320.0,1340.0,1302
Expenses,206.0,449.0,567.0,738.0,766.0,721
Operating Profit,172.0,385.0,443.0,582.0,574.0,581
OPM %,45.0,46.0,44.0,44.0,43.0,45
Other Income,1.0,66.0,68.0,133.0,46.0,55
Interest,3.0,23.0,12.0,9.0,13.0,5
Depreciation,12.0,24.0,32.0,39.0,48.0,49
Profit before tax,158.0,405.0,468.0,668.0,560.0,582
Tax %,31.0,22.0,23.0,32.0,27.0,
Net Profit,109.0,317.0,362.0,454.0,411.0,432
EPS in Rs,5463.5,12.45,14.23,17.83,16.16,16.97
