,2023-03-01,2023-09-01
Equity Capital,46,46
Reserves,27,35
Borrowings,0,2
Other Liabilities,16,26
Total Liabilities,90,109
Fixed Assets,0,2
CWIP,0,0
Investments,7,11
Other Assets,83,97
Total Assets,90,109
