,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,50.54,51.34,49.44,46.62,75.18
Expenses,47.0,48.11,46.83,44.62,72.88
Operating Profit,3.54,3.23,2.61,2.0,2.3
OPM %,7.0,6.29,5.28,4.29,3.06
Other Income,1.77,1.54,1.51,1.49,1.57
Interest,0.11,0.08,0.04,0.02,0.05
Depreciation,0.01,0.02,0.02,0.01,0.06
Profit before tax,5.19,4.67,4.06,3.46,3.76
Tax %,16.76,26.98,14.04,15.9,17.82
Net Profit,4.31,3.42,3.49,2.91,3.09
EPS in Rs,0.76,0.53,0.56,0.49,0.53
