,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,460,457,531,472.0,485.0,458.0,440.0
Expenses,385,371,441,385.0,405.0,373.0,352.0
Operating Profit,76,86,90,86.0,80.0,85.0,88.0
OPM %,16,19,17,18.0,16.0,19.0,20.0
Other Income,3,0,1,0.0,1.0,0.0,1.0
Interest,5,4,6,5.0,6.0,4.0,4.0
Depreciation,14,14,17,16.0,16.0,17.0,18.0
Profit before tax,59,68,69,65.0,59.0,64.0,67.0
Tax %,18,24,26,27.0,27.0,26.0,23.0
Net Profit,49,52,51,48.0,43.0,47.0,52.0
EPS in Rs,,,,5.26,4.73,5.2,5.72
