,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,101,100,24,24,24,24,24,24,24,12
Reserves,0,0,83,95,103,114,140,164,192,214
Borrowings,2,9,62,60,49,24,24,22,34,50
Other Liabilities,2,2,8,7,6,6,4,1,10,28
Total Liabilities,104,112,176,186,182,168,191,211,259,315
Fixed Assets,2,1,1,1,1,1,0,2,14,13
CWIP,0,0,0,0,0,0,0,0,0,0
Investments,0,0,10,20,20,20,0,0,0,0
Other Assets,103,111,165,165,161,147,191,209,245,303
Total Assets,104,112,176,186,182,168,191,211,259,315
