,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,52.17,58.84,22.74,64.9,92.0,53.14,60.97,57.18,95.01,99.57,108.1,106.59
Expenses,38.53,48.43,19.63,54.42,76.86,46.78,47.88,52.99,79.85,91.57,88.93,93.66
Operating Profit,13.64,10.41,3.11,10.48,15.14,6.36,13.09,4.19,15.16,8.0,19.17,12.93
OPM %,26.15,17.69,13.68,16.15,16.46,11.97,21.47,7.33,15.96,8.03,17.73,12.13
Other Income,0.4,3.05,0.71,1.17,0.04,0.01,0.66,0.85,0.49,0.29,0.39,0.06
Interest,0.01,0.16,0.09,0.35,0.02,0.12,0.02,0.19,0.46,0.32,0.38,0.61
Depreciation,0.02,0.03,0.03,0.03,0.11,0.11,0.12,0.32,0.62,0.62,0.55,0.56
Profit before tax,14.01,13.27,3.7,11.27,15.05,6.14,13.61,4.53,14.57,7.35,18.63,11.82
Tax %,24.98,22.46,25.41,25.38,25.12,27.69,24.98,28.04,25.53,27.21,25.76,27.58
Net Profit,10.51,10.3,2.76,8.41,11.27,4.44,10.22,3.26,10.86,5.35,13.83,8.57
EPS in Rs,0.89,0.87,0.23,0.71,0.96,0.38,0.87,0.28,0.92,0.45,1.17,0.73
