,2019-09-01,2020-03-01,2020-09-01,2021-03-01,2021-09-01,2022-03-01,2022-09-01,2023-03-01,2023-09-01
Sales,1.02,0.85,0.69,2.27,2.94,9.45,9.5,9.88,11.8
Expenses,1.25,1.06,1.04,2.4,2.89,7.72,8.09,9.16,10.35
Operating Profit,-0.23,-0.21,-0.35,-0.13,0.05,1.73,1.41,0.72,1.45
OPM %,-22.55,-24.71,-50.72,-5.73,1.7,18.31,14.84,7.29,12.29
Other Income,0.0,0.0,0.01,0.06,0.0,0.01,0.02,0.04,0.32
Interest,0.08,0.07,0.14,0.08,0.11,0.17,0.27,0.24,0.26
Depreciation,0.05,0.1,0.06,0.08,0.09,0.11,0.11,0.14,0.14
Profit before tax,-0.36,-0.38,-0.54,-0.23,-0.15,1.46,1.05,0.38,1.37
Tax %,11.11,105.26,35.19,-8.7,20.0,34.93,22.86,5.26,29.2
Net Profit,-0.32,0.03,-0.35,-0.25,-0.12,0.95,0.81,0.36,0.97
EPS in Rs,-0.63,0.06,-0.69,-0.49,-0.24,1.87,1.59,0.71,1.31
