,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,0.25,3.73,5.09,5.09,5.09,5.09,5.09,5.09,5.09
Reserves,0.19,0.19,3.87,2.59,2.29,1.64,2.46,3.58,11.65
Borrowings,1.67,1.12,0.52,1.12,1.99,3.29,4.09,4.44,6.21
Other Liabilities,1.4,1.19,0.81,0.78,0.8200000000000001,1.57,3.74,11.2,19.67
Total Liabilities,3.51,6.23,10.29,9.58,10.19,11.59,15.38,24.31,44.91
Fixed Assets,0.2,0.88,1.57,3.21,3.17,3.93,4.04,4.14,4.08
CWIP,0.0,0.0,0.0,0.18,0.18,0.18,0.71,1.21,1.21
Investments,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.53,1.5
Other Assets,3.31,5.35,8.72,6.19,6.84,7.48,10.51,18.43,38.12
Total Assets,3.51,6.23,10.29,9.58,10.19,11.59,15.38,24.31,44.91
