,2021-03-01,2022-03-01,2023-03-01
Sales,7.81,9.87,14.84
Expenses,6.69,7.94,8.31
Operating Profit,1.12,1.93,6.53
OPM %,14.34,19.55,44.0
Other Income,0.05,0.12,0.02
Interest,0.62,0.50,0.25
Depreciation,0.04,0.04,0.05
Profit before tax,0.51,1.51,6.25
Tax %,27.45,28.48,27.68
Net Profit,0.37,1.08,4.51
EPS in Rs,,,8.85
