,2021-03-01,2022-03-01,2023-03-01
Cash from Operating Activity,7.77,0.53,2.63
Cash from Investing Activity,0.04,0.0,-0.19
Cash from Financing Activity,-6.72,-1.87,-1.93
Net Cash Flow,1.08,-1.33,0.5
