,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,0.72,0.73,0.55,0.74,0.8,0.83
Expenses,0.61,0.68,0.54,0.68,1.03,0.98
Operating Profit,0.11,0.05,0.01,0.06,-0.23,-0.15
OPM %,15.28,6.85,1.82,8.11,-28.75,-18.07
Other Income,0.0,0.08,0.0,0.23,0.22,0.13
Interest,0.0,0.0,0.0,0.0,0.0,0.00
Depreciation,0.06,0.06,0.06,0.06,0.05,0.04
Profit before tax,0.05,0.07,-0.05,0.23,-0.06,-0.06
Tax %,20.0,0.0,-20.0,0.0,0.0,
Net Profit,0.04,0.07,-0.06,0.23,-0.06,0.04
EPS in Rs,0.0,0.01,-0.01,0.02,-0.01,0.00
