,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,22.38,22.38,22.38,22.38,22.38,22.38
Reserves,-4.96,-4.89,-4.95,-4.73,-4.79,-4.74
Borrowings,0.0,0.0,0.0,0.0,0.0,0.0
Other Liabilities,0.89,0.8,0.76,0.52,0.52,0.92
Total Liabilities,18.31,18.29,18.19,18.17,18.11,18.56
Fixed Assets,1.99,1.94,1.88,1.89,1.85,2.68
CWIP,0.0,0.0,0.0,0.0,0.0,0.0
Investments,2.0,2.08,2.08,2.04,2.02,2.15
Other Assets,14.32,14.27,14.23,14.24,14.24,13.73
Total Assets,18.31,18.29,18.19,18.17,18.11,18.56
