,Mar 2011,Mar 2012,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,8.98,17.36,24.87,27.88,23.64,22.98,28.83,33.41,35.00
Expenses,8.15,16.22,22.9,25.53,24.39,21.28,26.28,31.41,32.71
Operating Profit,0.83,1.14,1.97,2.35,-0.75,1.7,2.55,2.0,2.29
OPM %,9.24,6.57,7.92,8.43,-3.17,7.4,8.84,5.99,6.54
Other Income,0.01,0.02,0.03,0.17,0.1,0.1,1.26,0.57,0.38
Interest,0.33,0.46,0.79,1.12,1.27,0.79,0.95,0.81,0.82
Depreciation,0.3,0.41,0.5,0.74,0.88,0.87,0.88,0.88,0.87
Profit before tax,0.21,0.29,0.71,0.66,-2.8,0.14,1.98,0.88,0.98
Tax %,42.86,72.41,35.21,21.21,24.64,-85.71,47.47,-88.64,
Net Profit,0.11,0.09,0.46,0.52,-2.12,0.25,1.03,1.66,1.78
EPS in Rs,2.2,1.8,0.06,0.05,-0.2,0.02,0.1,0.16,0.17
