,2011-03-01,2012-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,0.35,0.35,5.57,7.95,7.95,10.6,10.6,10.6,10.6
Reserves,0.87,0.96,3.02,6.17,4.05,0.12,1.05,2.74,3.0
Borrowings,4.37,2.84,7.83,12.67,11.57,10.54,11.67,14.3,10.63
Other Liabilities,2.7,5.42,8.75,8.47,9.48,9.69,7.73,7.08,15.51
Total Liabilities,8.29,9.57,25.17,35.26,33.05,30.95,31.05,34.72,39.74
Fixed Assets,1.95,1.89,9.34,15.68,15.05,14.55,13.9,15.55,16.41
CWIP,0.0,0.0,0.0,0.0,0.36,0.0,2.21,0.75,0.0
Investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Assets,6.34,7.68,15.83,19.58,17.64,16.4,14.94,18.42,23.33
Total Assets,8.29,9.57,25.17,35.26,33.05,30.95,31.05,34.72,39.74
