,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,33.22,32.85,50.27,56.81,77.57,43.87,29.53,21.71,21.67,21.55,21.08
Expenses,31.44,31.03,45.51,53.39,72.14,42.77,28.94,20.42,20.85,21.19,20.92
Operating Profit,1.78,1.82,4.76,3.42,5.43,1.1,0.59,1.29,0.82,0.36,0.16
OPM %,5.36,5.54,9.47,6.02,7.0,2.51,2.0,5.94,3.78,1.67,0.76
Other Income,0.02,0.06,-0.15,0.46,0.37,0.05,0.45,0.32,0.76,0.05,0.09
Interest,0.67,0.57,0.87,1.09,0.89,1.09,0.81,0.59,0.55,0.44,0.21
Depreciation,0.57,0.87,0.92,0.9,0.57,0.68,0.78,0.83,0.84,0.84,0.79
Profit before tax,0.56,0.44,2.82,1.89,4.34,-0.62,-0.55,0.19,0.19,-0.87,-0.75
Tax %,25.0,13.64,37.59,40.21,34.79,-6.45,14.55,-89.47,31.58,0.0,
Net Profit,0.42,0.39,1.77,1.14,2.82,-0.67,-0.48,0.36,0.13,-0.87,-0.74
EPS in Rs,0.77,0.72,3.25,2.09,5.17,-1.23,-0.88,0.66,0.24,-1.6,-1.35
