,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,5.45,5.45,5.45,5.45,5.45,5.45,5.45,5.45,5.45,5.45,5.45
Reserves,7.13,7.33,9.3,10.36,13.25,12.81,12.31,12.67,12.8,11.97,11.86
Borrowings,2.86,3.98,10.59,9.72,7.56,8.04,6.92,6.27,4.47,0.21,0.0
Other Liabilities,8.09,7.59,10.73,13.52,14.46,12.02,7.12,5.33,6.49,4.45,7.24
Total Liabilities,23.53,24.35,36.07,39.05,40.72,38.32,31.8,29.72,29.21,22.08,24.55
Fixed Assets,3.99,5.1,4.5600000000000005,4.2,4.54,5.57,5.67,5.14,4.61,3.99,3.86
CWIP,1.3,1.26,2.4,3.22,0.72,0.0,0.0,0.0,0.0,0.0,0.0
Investments,0.0,0.0,0.0,0.0,4.43,4.61,4.65,4.53,4.53,1.66,1.64
Other Assets,18.24,17.99,29.11,31.63,31.03,28.14,21.48,20.05,20.07,16.43,19.05
Total Assets,23.53,24.35,36.07,39.05,40.72,38.32,31.8,29.72,29.21,22.08,24.55
