,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,22.9,22.52,19.65,39.96,43.14,30.25,32.96,34.29,39.67,20.45,30.84,70.23,90.72
Expenses,20.55,20.42,17.25,36.6,39.16,27.0,29.41,31.29,35.62,19.74,29.04,62.98,82.84
Operating Profit,2.35,2.1,2.4,3.36,3.98,3.25,3.55,3.0,4.05,0.71,1.8,7.25,7.88
OPM %,10.26,9.33,12.21,8.41,9.23,10.74,10.77,8.75,10.21,3.47,5.84,10.32,8.69
Other Income,0.21,0.19,0.21,0.34,0.72,0.96,0.68,0.71,0.79,1.4,1.46,0.79,1.06
Interest,0.13,0.54,0.63,0.65,0.88,0.88,0.88,1.69,1.83,1.73,1.37,2.06,1.94
Depreciation,0.7,0.77,0.85,1.09,0.98,0.96,0.85,1.87,1.57,1.37,1.14,1.12,1.23
Profit before tax,1.73,0.98,1.13,1.96,2.84,2.37,2.5,0.15,1.44,-0.99,0.75,4.86,5.77
Tax %,35.26,36.73,32.74,33.16,33.8,32.07,24.0,193.33,14.58,5.05,9.33,19.96,
Net Profit,1.12,0.62,0.76,1.31,1.87,1.61,1.9,-0.14,1.23,-0.93,0.68,3.91,4.46
EPS in Rs,18.67,10.33,12.67,21.83,31.17,2.68,2.32,-0.17,1.5,-1.13,0.83,4.77,5.44
