,2019-09-01,2020-03-01,2020-09-01,2021-03-01,2021-09-01,2022-03-01,2022-09-01,2023-03-01,2023-09-01
Sales,16.07,23.6,5.07,15.38,12.77,18.07,23.7,46.54,44.18
Expenses,14.79,21.16,5.14,14.55,12.44,16.6,19.39,43.66,39.18
Operating Profit,1.28,2.44,-0.07,0.83,0.33,1.47,4.31,2.88,5.0
OPM %,7.97,10.34,-1.38,5.4,2.58,8.14,18.19,6.19,11.32
Other Income,0.38,0.45,0.46,0.92,0.73,0.73,0.36,0.49,0.57
Interest,0.75,0.79,0.96,0.84,0.7,0.67,0.95,1.11,0.83
Depreciation,0.78,0.79,0.65,0.69,0.58,0.56,0.52,0.59,0.64
Profit before tax,0.13,1.31,-1.22,0.22,-0.22,0.97,3.2,1.67,4.1
Tax %,-23.08,35.88,1.64,-13.64,-18.18,4.12,25.62,7.78,28.54
Net Profit,0.16,0.83,-1.19,0.26,-0.26,0.94,2.37,1.53,2.93
EPS in Rs,0.2,1.01,-1.45,0.32,-0.32,1.15,2.89,1.87,3.57
