,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,189073,81726,180905.0,174270.0,211326.0,168071.0,216355.0,196958.0,200179.0,189300.0,202221.0
Expenses,185274,152575,181696.0,171233.0,209220.0,166922.0,285094.0,193351.0,186381.0,178435.0,193379.0
Operating Profit,3799,-70849,-791.0,3037.0,2106.0,1149.0,-68739.0,3607.0,13797.0,10866.0,8842.0
OPM %,2,-87,-0.0,2.0,1.0,1.0,-32.0,2.0,7.0,6.0,4.0
Other Income,115,72432,5411.0,392.0,208.0,959.0,90114.0,234.0,578.0,77.0,248.0
Interest,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Depreciation,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Profit before tax,3914,1582,4621.0,3429.0,2313.0,2108.0,21376.0,3841.0,14375.0,10943.0,9090.0
Tax %,26,100,69.0,93.0,-3.0,68.0,25.0,-65.0,7.0,13.0,13.0
Net Profit,2893,3,1434.0,235.0,2372.0,683.0,15952.0,6334.0,13428.0,9544.0,7925.0
EPS in Rs,,,2.27,0.37,3.75,1.08,25.22,10.01,21.23,15.09,12.53
