,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Promoters,96.5,96.5,96.5,96.5,96.5,96.5
FIIs,0.12,0.18,0.17,0.08,0.08,0.1
DIIs,1.06,0.91,0.91,0.9,0.83,0.84
Public,2.32,2.42,2.42,2.52,2.58,2.55
No. of Shareholders,3789053.0,3603679.0,3442340.0,3378799.0,3281544.0,3134541.0
