,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,21.93,25.99,31.7,33.04,32.15,34.94,37.66,40.72,47.17,40.88,53.75,45.02,46.54
Expenses,15.62,19.17,23.16,25.22,24.44,26.45,29.62,31.1,37.89,34.02,42.53,38.2,38.88
Operating Profit,6.31,6.82,8.54,7.82,7.71,8.49,8.04,9.62,9.28,6.86,11.22,6.82,7.66
OPM %,28.77,26.24,26.94,23.67,23.98,24.3,21.35,23.62,19.67,16.78,20.87,15.15,16.46
Other Income,0.13,0.03,-0.13,0.08,0.06,-0.06,0.11,0.42,0.15,0.08,0.04,0.23,0.09
Interest,1.58,1.38,1.07,0.77,0.72,1.02,1.09,2.54,3.13,2.98,2.11,1.81,1.57
Depreciation,4.83,4.44,4.05,3.13,2.54,2.51,2.54,4.02,4.85,4.76,4.49,4.23,4.25
Profit before tax,0.03,1.03,3.29,4.0,4.51,4.9,4.52,3.48,1.45,-0.8,4.66,1.01,1.93
Tax %,-1133.33,31.07,33.13,32.5,36.36,34.29,23.67,27.59,38.62,-25.0,20.6,30.69,
Net Profit,0.37,0.71,2.2,2.69,2.87,3.22,3.45,2.52,0.88,-1.0,3.7,0.7,1.51
EPS in Rs,0.93,1.79,5.56,6.8,7.25,8.13,8.71,6.37,2.22,-2.53,9.35,1.77,3.82
