,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,11.97,14.62,13.33,12.99,14.36,13.07,12.01,10.96,11.19,10.87,11.68,12.8
Expenses,10.8,11.11,10.48,10.16,11.25,10.67,9.73,9.71,9.26,9.4,9.82,10.4
Operating Profit,1.17,3.51,2.85,2.83,3.11,2.4,2.28,1.25,1.93,1.47,1.86,2.4
OPM %,9.77,24.01,21.38,21.79,21.66,18.36,18.98,11.41,17.25,13.52,15.92,18.75
Other Income,0.0,0.04,0.0,0.0,-0.01,0.07,0.04,0.0,0.02,0.07,0.0,0.0
Interest,0.87,0.62,0.63,0.5,0.53,0.45,0.51,0.49,0.45,0.36,0.4,0.36
Depreciation,1.19,1.2,1.12,1.11,1.12,1.14,1.07,1.08,1.08,1.0,1.07,1.1
Profit before tax,-0.89,1.73,1.1,1.22,1.45,0.88,0.74,-0.32,0.42,0.18,0.39,0.94
Tax %,-4.49,5.2,29.09,29.51,4.83,25.0,33.78,21.88,28.57,0.0,28.21,18.09
Net Profit,-0.93,1.64,0.79,0.86,1.38,0.67,0.49,-0.25,0.29,0.17,0.28,0.77
EPS in Rs,-2.35,4.14,2.0,2.17,3.49,1.69,1.24,-0.63,0.73,0.43,0.71,1.95
