,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,5.51,5.51,5.51,5.51,5.51,5.51,5.51,5.51,5.51,5.51,5.51,5.51
Reserves,1.17,1.4,1.59,1.82,1.43,1.06,-0.02,-0.5,-0.97,-0.76,-1.17,-0.89
Borrowings,5.82,6.68,6.2,6.51,6.71,6.76,3.35,3.63,2.92,1.98,1.36,0.89
Other Liabilities,7.24,14.26,5.42,1.44,3.44,4.37,1.09,0.39,0.49,1.71,2.98,2.5700000000000003
Total Liabilities,19.74,27.85,18.72,15.28,17.09,17.7,9.93,9.03,7.95,8.44,8.68,8.08
Fixed Assets,0.66,0.61,0.35,0.31,0.34,1.6,1.36,1.33,1.34,1.29,1.2,1.33
CWIP,0.22,0.37,1.42,1.14,1.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investments,1.87,1.79,1.71,1.99,2.03,2.39,1.75,1.75,1.04,1.04,0.58,0.58
Other Assets,16.99,25.08,15.24,11.84,13.58,13.71,6.82,5.95,5.57,6.11,6.9,6.17
Total Assets,19.74,27.85,18.72,15.28,17.09,17.7,9.93,9.03,7.95,8.44,8.68,8.08
