,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,79.99,109.76,78.15,31.01,14.52,14.7,1.7,2.2,1.24,3.04,4.11,5.69
Expenses,83.8,115.51,83.61,34.72,17.88,14.46,2.34,2.35,1.26,2.58,3.57,5.00
Operating Profit,-3.81,-5.75,-5.46,-3.71,-3.36,0.24,-0.64,-0.15,-0.02,0.46,0.54,0.69
OPM %,-4.76,-5.24,-6.99,-11.96,-23.14,1.63,-37.65,-6.82,-1.61,15.13,13.14,12.13
Other Income,4.92,6.88,6.67,4.69,3.8,0.18,0.42,0.0,-0.14,0.0,-0.55,0.09
Interest,0.67,0.68,0.72,0.62,0.71,0.58,0.37,0.32,0.23,0.16,0.16,0.12
Depreciation,0.1,0.09,0.09,0.08,0.07,0.15,0.09,0.09,0.07,0.07,0.06,0.06
Profit before tax,0.34,0.36,0.4,0.28,-0.34,-0.31,-0.68,-0.56,-0.46,0.23,-0.23,0.60
Tax %,11.76,36.11,37.5,17.86,-11.76,-25.81,-1.47,12.5,-2.17,13.04,-34.78,
Net Profit,0.3,0.24,0.25,0.23,-0.37,-0.38,-0.68,-0.48,-0.47,0.21,-0.31,-0.07
EPS in Rs,0.54,0.44,0.45,0.42,-0.67,-0.69,-1.23,-0.87,-0.85,0.38,-0.56,-0.13
