,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Cash from Operating Activity,0.5700000000000001,-0.99,2.14,0.6900000000000001,0.44,-0.68,-0.01,0.31,-0.44,1.12,0.93
Cash from Investing Activity,-0.16,0.05,-0.76,0.0,0.02,-0.62,0.55,0.0,0.72,-0.02,0.39
Cash from Financing Activity,0.33,0.23,-0.97,-0.33,-1.2,1.15,-0.9,-0.29,-0.28,-1.09,-0.86
Net Cash Flow,0.74,-0.71,0.4,0.36,-0.74,-0.16,-0.36,0.02,0.0,0.01,0.46
